"","Cohort","Monkey","Tissue2","Week","filename","no.sites","no.syn.sites","no.ns.sites","mean","mean.syn","mean.ns","median","mutated.sites.no","mutated.sites"
"38","SIV only","3616","plasma",7,"Run_5_15_Animal_3616",1166,585,581,0.00190768269549354,0.000771992827784615,0.0010559450874389,0.00151464421804499,0,NA
"39","SIV only","3616","pLN",7,"Run_5_16_Animal_3616",1167,585,582,0.00201109061119575,0.000767406009623932,0.00117352407438144,0.00169144876034973,0,NA
"40","SIV only","3616","Thoracic LN",7,"Run_5_17_Animal_3616",1158,583,575,0.00248995424071432,0.00128525400226415,0.00112109067624348,0.00159075327056234,0,NA
"41","SIV only","3316","plasma",7,"Run_5_18_Animal_3316",1148,580,568,0.0019459038650988,0.000625901701948276,0.00122606954088028,0.00144852241044092,0,NA
"42","SIV only","3316","pLN",7,"Run_5_19_Animal_3316",1171,586,585,0.00220572241050835,0.000947345414488055,0.00118521925480342,0.0018384213189408,0,NA
"43","SIV only","3316","Thoracic LN",7,"Run_5_20_Animal_3316",1171,586,585,0.00200907585056526,0.000792653112918089,0.00115151984464957,0.00169746033818633,0,NA
"44","SIV only","3816","Lung",8,"Run_5_21_Animal_3816",1169,585,584,0.00224077145045914,0.000570109905264957,0.00159977754511986,0.00161637931034483,1,"824"
"45","SIV only","4016","plasma",8,"Run_5_22_Animal_4016",1163,584,579,0.00189453852102122,0.000619583861506849,0.00114773943789292,0.00165647298674822,0,NA
"46","SIV only","4016","Thoracic LN",8,"Run_5_23_Animal_4016",1171,586,585,0.00233215993949563,0.00101500758020478,0.00116699895728205,0.00172516906656852,0,NA
"47","SIV only","4016","Lung",8,"Run_5_24_Animal_4016",1166,585,581,0.00232213865612071,0.000878843482923077,0.00129160515299484,0.00193050193050193,0,NA
"48","Mtb R","31316","plasma",5,"Run_6_02_Animal_31316",1171,586,585,0.00191009067019904,0.000635947532720137,0.00120641316685128,0.00181140117208311,0,NA
"49","Mtb R","31316","plasma",8,"Run_6_03_Animal_31316",1171,586,585,0.00203229545778575,0.000732327894382253,0.00121522867093504,0.00178363706863125,0,NA
"50","Mtb R","31316","pLN",8,"Run_6_04_Animal_31316",1166,583,583,0.00206706515728616,0.000842745765694683,0.00115665915986278,0.00155483793804569,0,NA
"51","Mtb R","31316","Thoracic LN",8,"Run_6_05_Animal_31316",1166,583,583,0.00201567267329767,0.000733650653087479,0.00120498345963979,0.00173913043478261,0,NA
"52","Mtb R","31316","Thoracic LN",8,"Run_6_06_Animal_31316",1170,585,585,0.0022967096318477,0.000540788666837607,0.00169017422841026,0.00171232876712329,0,NA
"53","Mtb R","16314","Lung",8,"Run_6_07_Animal_16314",1166,583,583,0.00201163406680488,0.00072252595626072,0.00117992081578045,0.00155389179262608,0,NA
"54","Mtb R","16314","Thoracic LN",8,"Run_6_08_Animal_16314",1171,586,585,0.0019998076013429,0.000609895823208191,0.00129642462444444,0.001806684733514,0,NA
"55","Mtb R","20615","Lung",6,"Run_6_09_Animal_20615",1171,586,585,0.00265018786774958,0.000736455495187713,0.00183148739663248,0.00178953124223294,0,NA
"56","Mtb R","20615","Lung",6,"Run_6_10_Animal_20615",1171,586,585,0.0027435709202075,0.00145091581761092,0.00123318620842735,0.00158770713190744,1,"825"
"57","Mtb R","20615","Lung",6,"Run_6_11_Animal_20615",1171,586,585,0.00261147664132788,0.00071606372890785,0.00180734875374359,0.00156278727707299,0,NA
"58","Mtb R","3516","Lung",9,"Run_6_13_Animal_3516",1166,583,583,0.00177734857943131,0.000514334428799314,0.00116492584003431,0.00127527782838404,0,NA
"59","Mtb R","3516","Lung",9,"Run_6_14_Animal_3516",1166,583,583,0.00204609680312131,0.000653777627272727,0.00131226082367067,0.0014665828619317,0,NA
"60","Mtb NR","3116","plasma",3,"Run_6_15_Animal_3116",1171,586,585,0.00200831758151457,0.000652195407047782,0.00127597923938974,0.00193436725828893,0,NA
"61","Mtb NR","3116","plasma",8,"Run_6_16_Animal_3116",1171,586,585,0.00199423967679469,0.000684250840305461,0.00124930993611453,0.00174254343670169,0,NA
"62","Mtb NR","3116","pLN",8,"Run_6_17_Animal_3116",1165,583,582,0.00222872289905806,0.000686663673070326,0.00142617744742268,0.00165072476723333,0,NA
"63","Mtb NR","3116","Thoracic LN",8,"Run_6_18_Animal_3116",1138,577,561,0.00221790827896908,0.000669183028596187,0.00139157061568627,0.00145507476511843,0,NA
"64","Mtb NR","3116","Lung",8,"Run_6_19_Animal_3116",1166,583,583,0.00199991189883035,0.000680346103910806,0.00124294703643225,0.0015989577164515,0,NA
"65","Mtb NR","3116","Thoracic LN",8,"Run_6_20_Animal_3116",1162,582,580,0.00198457220330468,0.000632530279209622,0.00129201767672414,0.00155793857062777,0,NA
"66","Mtb NR","3216","Thoracic LN",9,"Run_6_21_Animal_3216",1166,583,583,0.00197394934516065,0.00072831524348199,0.00118705161377358,0.00170959653521769,0,NA
"67","Mtb NR","3216","Lung",9,"Run_6_22_Animal_3216",1166,583,583,0.00198898559195985,0.000706788920874786,0.00120050480310463,0.00170201623461639,0,NA
"68","Mtb NR","30816","Thoracic LN",8,"Run_6_23_Animal_30816",1142,576,566,0.00272891571302161,0.00105292087777778,0.00155039281678445,0.00116822429906542,1,"335"
"69","SIV only","4016","pLN",8,"Run_6_24_Animal_4016",1171,586,585,0.00183535737389957,0.000549233790255973,0.00113504657724786,0.00167839636856058,0,NA
"70","","stock_virus","stock",NA,"Run_5_01_Animal_stock_virus",1171,586,585,0.00250095814033957,0.000927892085651877,0.00138920034363761,0.00141109052522728,0,NA
"71","","stock_virus","control",NA,"Run_6_01_Animal_stock_virus",1162,582,580,0.00203013308448576,0.000558073769106529,0.00134419396007069,0.00201225647123388,205,"184,185,205,369,386,394,541,543,547,548,549,550,552,553,555,556,558,560,562,563,564,565,566,567,569,570,571,572,573,574,575,577,578,579,581,584,585,587,588,589,590,591,593,594,595,597,598,600,602,604,605,606,608,612,614,616,617,619,621,622,623,624,625,626,627,628,630,631,632,633,634,635,637,640,641,643,644,645,646,647,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,672,673,675,676,677,678,679,682,683,684,685,686,689,690,691,696,698,700,702,703,704,705,706,707,709,712,713,715,716,717,719,722,723,724,725,727,728,729,730,731,734,735,736,737,738,740,741,742,744,745,746,747,748,749,750,751,752,753,755,756,757,758,759,760,761,764,765,766,767,769,770,771,772,773,774,775,776,777,778,779,783,784,785,786,787,788,789,791,792,793,796,798,800,801,803,805,806,809,810,811,816,817,819"
